identifier,code,originalTitle,title,description,subject,keyword,format,type,geometryType,dateIssued,temporalCoverage,solrYear,spatialCoverage,spatial,provenance,publisher,creator,landingPage,downloadURL,featureServer,mapServer,imageServer
cde2b42d0da24de9b1bf7d7e178f3d83_2,05b-27053,Census Block Groups,"Census Block Groups: Hennepin County, Minnesota, 2010","2010 US Census Block Groups for Hennepin County with subset of PL94-171 demographic data.The Hennepin County GIS Office downloaded US Census data from the following sites:Shapefiles:http://www.census.gov/cgi-bin/geo/shapefiles2010/mainPL94-171:http://www.census.gov/rdo/data/2010_census_redistricting_data_pl_94-171_summary_files.htmlPL94-171 tabular data was post processed per instructions and stored in an Access database. Records and a subset of the 290 plus fields were extracted from the master tables using SQL statements. A copy of the statement has been included in the Lineage section of metadata. Tables were registered as a geodatabase and copied to a File Geodatabase. Shapefiles were imported into the File Geodatabase and projected to UTM Zone 15 N. The feature classes were joined to the tabular data and saved as the final US Census layer. The feature classes underwent visual inspection. The number of records were compared and checked. The attribute values were compared to existing Maptitude US Census data.Please contact the Hennepin GIS Office if you require additional PL94-171 fields.Hennepin County GIS Officegis.info@hennepin.usPhone: 612-596-9484The original metadata is contained below.The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Block Groups (BGs) are defined before tabulation block delineation and numbering, but are clusters of blocks within the same census tract that have the same first digit of their 4-digit census block number from the same decennial census. For example, Census 2000 tabulation blocks 3001, 3002, 3003,.., 3999 within Census 2000 tract 1210.02 are also within BG 3 within that census tract. Census 2000 BGs generally contained between 600 and 3,000 people, with an optimum size of 1,500 people. Most BGs were delineated by local participants in the Census Bureau's Participant Statistical Areas Program (PSAP). The Census Bureau delineated BGs only where the PSAP participant declined to delineate BGs or where the Census Bureau could not identify any local PSAP participant. A BG usually covers a contiguous area. Each census tract contains at least one BG, and BGs are uniquely numbered within census tract. Within the standard census geographic hierarchy, BGs never cross county or census tract boundaries, but may cross the boundaries of other geographic entities like county subdivisions, places, urban areas, voting districts, congressional districts, and American Indian / Alaska Native / Native Hawaiian areas. BGs have a valid code range of 0 through 9. BGs coded 0 were intended to only include water area, no land area, and they are generally in territorial seas, coastal water, and Great Lakes water areas. For Census 2000, rather than extending a census tract boundary into the Great Lakes or out to the U.S. nautical three-mile limit, the Census Bureau delineated some census tract boundaries along the shoreline or just offshore. The Census Bureau assigned a default census tract number of 0 and BG of 0 to these offshore, water-only areas not included in regularly numbered census tract areas.Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/2010%20Census%20Block%20Groups.pdfData updated: 04/08/2011Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Boundaries,open data|demographics|people and society|census|boundaries,Shapefile,Dataset,Vector,2015-09-14,2010,2010,"Hennepin County, Minnesota|Minnesota","-93.772,44.7834,-93.1769,45.2477",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/cde2b42d0da24de9b1bf7d7e178f3d83_2,https://gis-hennepin.opendata.arcgis.com/datasets/cde2b42d0da24de9b1bf7d7e178f3d83_2.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PEOPLE_SOCIETY/MapServer/2,
c0e6878df8814670a89a1cc09d73b386_3,05b-27053,Census Blocks,"Census Blocks: Hennepin County, Minnesota, 2010","2010 US Census block boundaries attributed with a subset of the PL94-171 demographic data released March 2011. Please contact the Hennepin GIS Office if you require additional PL94-171 fields. Downloaded the 2010 US Census block boundary shapefile from the US Census Bureau at the following address: http://www.census.gov/cgi-bin/geo/shapefiles2010/mainDownloaded the PL94-171 demographic data from the following address: http://www.census.gov/rdo/data/2010_census_redistricting_data_pl_94-171_summary_files.html Post processed the demographic data per instructions. Stored in Access database. Set up SQL Query to create a subset of the data based on feedback from HSPHD and the GIS Office. Database documentation on file at the GIS Office. Imported the shapefile and demographic data into a File geodatabase. Joined and saved the data sets. Performed error checking by comparing against State and Maptitude versions. The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Census Blocks are statistical areas bounded on all sides by visible features, such as streets, roads, streams, and railroad tracks, and/or by nonvisible boundaries such as city, town, township, and county limits, and short line-of-sight extensions of streets and roads. Census blocks are relatively small in area; for example, a block in a city bounded by streets. However, census blocks in remote areas are often large and irregular and may even be many square miles in area. A common misunderstanding is that data users think census blocks are used geographically to build all other census geographic areas, rather all other census geographic areas are updated and then used as the primary constraints, along with roads and water features, to delineate the tabulation blocks. As a result, all 2010 Census blocks nest within every other 2010 Census geographic area, so that Census Bureau statistical data can be tabulated at the block level and aggregated up to the appropriate geographic areas. Census blocks cover all territory in the United States, Puerto Rico, and the Island Areas (American Samoa, Guam, the Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands). Blocks are the smallest geographic areas for which the Census Bureau publishes data from the decennial census. A block may consist of one or more faces.Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/2010%20Census%20Blocks.pdfData updated: 04/08/2011Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Boundaries,open data|census|demographics|people and society|boundaries,Shapefile,Dataset,Vector,2015-09-14,2010,2010,"Hennepin County, Minnesota|Minnesota","-93.772,44.7834,-93.1769,45.2477",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/c0e6878df8814670a89a1cc09d73b386_3,https://gis-hennepin.opendata.arcgis.com/datasets/c0e6878df8814670a89a1cc09d73b386_3.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PEOPLE_SOCIETY/MapServer/3,
62c63204202b45aca308a60efd8784d9_0,05b-27053,Census Cities,"Census Cities: Hennepin County, Minnesota, 2010","2010 US Census County Subdivisions (Cities) for Hennepin County with subset of PL94-171 demographic data.The Hennepin County GIS Office downloaded US Census data from the following sites: Shapefiles: http://www.census.gov/cgi-bin/geo/shapefiles2010/main PL94-171: http://www.census.gov/rdo/data/2010_census_redistricting_data_pl_94-171_summary_files.html PL94-171 tabular data was post processed per instructions and stored in an Access database. Records and a subset of the 290 plus fields were extracted from the master tables using SQL statements. A copy of the statement has been included in the Lineage section of metadata. Tables were registered as a geodatabase and copied to a File Geodatabase. Shapefiles were imported into the File Geodatabase and projected to UTM Zone 15 N. The feature classes were joined to the tabular data and saved as the final US Census layer. The feature classes underwent visual inspection. The number of records were compared and checked. The attribute values were compared to existing Maptitude US Census data. Please contact the Hennepin GIS Office if you require additional PL94-171 fields. Hennepin County GIS Office A-705 Government Center Minneapolis, Minnesota 55487-075 GIS.Info@co.hennepin.mn.us Phone: 612-596-9484 FAX: 612-348-2837 The original metadata is contained below. The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. County subdivisions are the primary divisions of counties and their equivalent entities for the reporting of Census Bureau data, and they include legally minor civil divisions (MCDs) and statistical census county divisions (CCDs), and unorganized territories. For the 2010 Census, the legal MCDs are the primary governmental and/or administrative divisions of counties in 29 States and Puerto Rico; Tennessee changed from having CCDs for Census 2000 to having MCDs for the 2010 Census. In MCD States where no MCD exists or is not defined, the Census Bureau creates statistical unorganized territories to complete coverage. The entire area of the United States, Puerto Rico, and the Island Areas is covered by county subdivisions. The boundaries of all 2010 Census legal MCDs are as of January 1, 2010 as reported through the Census Bureau's Boundary and Annexation Survey (BAS). For the 2010 Census, CCDs or their equivalents are delineated in 21 States. The boundaries of all 2010 Census statistical CCDs were delineated as part of the Census Bureau's Participant Statistical Areas Program (PSAP).Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/2010%20Census%20Cities.pdfData updated: 04/08/2011Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Boundaries,open data|census|demographics|people and society|cities|boundaries,Shapefile,Dataset,Vector,2015-09-14,2010,2010,"Hennepin County, Minnesota|Minnesota","-93.772,44.7834,-93.1769,45.2477",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/62c63204202b45aca308a60efd8784d9_0,https://gis-hennepin.opendata.arcgis.com/datasets/62c63204202b45aca308a60efd8784d9_0.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PEOPLE_SOCIETY/MapServer/0,
62bf3dd96fda4bd49e40574ccbaa7653_1,05b-27053,Census Tracts,"Census Tracts: Hennepin County, Minnesota, 2010","2010 US Census Tracts for Hennepin County with subset of PL94-171 demographic data. The Hennepin County GIS Office downloaded US Census data from the following sites: Shapefiles: http://www.census.gov/cgi-bin/geo/shapefiles2010/main PL94-171: http://www.census.gov/rdo/data/2010_census_redistricting_data_pl_94-171_summary_files.html PL94-171 tabular data was post processed per instructions and stored in an Access database. Records and a subset of the 290 plus fields were extracted from the master tables using SQL statements. A copy of the statement has been included in the Lineage section of metadata. Tables were registered as a geodatabase and copied to a File Geodatabase. Shapefiles were imported into the File Geodatabase and projected to UTM Zone 15 N. The feature classes were joined to the tabular data and saved as the final US Census layer. The feature classes underwent visual inspection. The number of records were compared and checked. The attribute values were compared to existing Maptitude US Census data. Please contact the Hennepin GIS Office if you require additional PL94-171 fields. Hennepin County GIS Office A-705 Government Center Minneapolis, Minnesota 55487-075 GIS.Info@co.hennepin.mn.us Phone: 612-596-9484 FAX: 612-348-2837 The original metadata is contained below. The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Census tracts are small, relatively permanent statistical subdivisions of a county or equivalent entity, and were defined by local participants as part of the 2010 Census Participant Statistical Areas Program. The Census Bureau delineated the census tracts in situations where no local participant existed or where all the potential participants declined to participate. The primary purpose of census tracts is to provide a stable set of geographic units for the presentation of census data and comparison back to previous decennial censuses. Census tracts generally have a population size between 1,200 and 8,000 people, with an optimum size of 4,000 people. When first delineated, census tracts were designed to be homogeneous with respect to population characteristics, economic status, and living conditions. The spatial size of census tracts varies widely depending on the density of settlement. Physical changes in street patterns caused by highway construction, new development, and so forth, may require boundary revisions. In addition, census tracts occasionally are split due to population growth, or combined as a result of substantial population decline. Census tract boundaries generally follow visible and identifiable features. They may follow legal boundaries such as minor civil division (MCD) or incorporated place boundaries in some States and situations to allow for census tract-to-governmental unit relationships where the governmental boundaries tend to remain unchanged between censuses. State and county boundaries always are census tract boundaries in the standard census geographic hierarchy. In a few rare instances, a census tract may consist of noncontiguous areas. These noncontiguous areas may occur where the census tracts are coextensive with all or parts of legal entities that are themselves noncontiguous. For the 2010 Census, the census tract code range of 9400 through 9499 was enforced for census tracts that include a majority American Indian population according to Census 2000 data and/or their area was primarily covered by federally recognized American Indian reservations and/or off-reservation trust lands; the code range 9800 through 9899 was enforced for those census tracts that contained little or no population and represented a relatively large special land use area such as a National Park, military installation, or a business/industrial park; and the code range 9900 through 9998 was enforced for those census tracts that contained only water area, no land area.Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/2010%20Census%20Tracts.pdfData updated: 04/08/2011Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Boundaries,open data|census|demographics|people and society|boundaries,Shapefile,Dataset,Vector,2015-09-14,2010,2010,"Hennepin County, Minnesota|Minnesota","-93.772,44.7834,-93.1769,45.2477",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/62bf3dd96fda4bd49e40574ccbaa7653_1,https://gis-hennepin.opendata.arcgis.com/datasets/62bf3dd96fda4bd49e40574ccbaa7653_1.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PEOPLE_SOCIETY/MapServer/1,
7a24f282f0d7497f9352519dbb3607e8_0,05b-27053,Address Points,"Address Points: Hennepin County, Minnesota","This layer contains address point features which are used for geocoding addresses and property identification numbers. Data attributes include property addresses and property identification numbers. Addresses are stored in both parsed and concatenated fields.Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Address%20Points.pdfData updated: dailyUse Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this data set, including errors, omissions, corrections and/or updates should be directed to the Hennepin County GIS Office at 612-596-9484.",Location,open data|land and property|parcels|address|property,Shapefile,Dataset,Vector,2015-11-11,2015,2015,"Hennepin County, Minnesota|Minnesota","-93.7725,44.7859,-93.1737,45.2465",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/7a24f282f0d7497f9352519dbb3607e8_0,https://gis-hennepin.opendata.arcgis.com/datasets/7a24f282f0d7497f9352519dbb3607e8_0.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/LAND_PROPERTY/MapServer/0,
938c8598f0a0439a8d612bb7894a05cc_1,05b-27053,Bikeway System,"Bikeway System: Hennepin County, Minnesota","This dataset contains the open and planned Hennepin County on-and off-street bikeway system as defined by the 2040 Bicycle Transportation Plan. The current Hennepin County and Three Rivers Park District bikeway system includes 651 miles of on- and off-street bikeways, 140 miles of which are regional trails operated by the park district. This dataset includes regional, municipal, state and county on-street and off-street bikeways but does not represent all on- and off-street bikeways in Hennepin County. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Bikeways.pdf Data updated: monthly This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this data set, including errors, omissions, corrections and/or updates should be directed to the Hennepin County GIS Office at 612-596-9484.",Transportation|Intelligence and Military,open data|transportation|bikeways,Shapefile,Dataset,Vector,2015-11-05,2015,2015,"Hennepin County, Minnesota|Minnesota","-94.0174,44.7877,-93.162,45.2467",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/938c8598f0a0439a8d612bb7894a05cc_1,https://gis-hennepin.opendata.arcgis.com/datasets/938c8598f0a0439a8d612bb7894a05cc_1.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/TRANSPORTATION/MapServer/1,
21d4448963034222a8f54c23fbefe693_0,05b-27053,City Halls,"City Halls: Hennepin County, Minnesota","This dataset contains City Hall locations in Hennepin County. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/City%20Halls.pdf Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Location,open data|places|cities,Shapefile,Dataset,Vector,2015-09-14,2015,2015,"Hennepin County, Minnesota|Minnesota","-93.7458,44.8233,-93.2166,45.2012",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/21d4448963034222a8f54c23fbefe693_0,https://gis-hennepin.opendata.arcgis.com/datasets/21d4448963034222a8f54c23fbefe693_0.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PLACES/MapServer/0,
173069c1f85943bea833c90710c87d85_0,05b-27053,Commissioner Districts,"Commissioner Districts: Hennepin County, Minnesota","This dataset contains the boundary areas of the Hennepin County Commissioner Districts, as determined by the 2012 redistricting work. This dataset is maintained by the Hennepin County Resident and Real Estate Services Department. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Commissioner%20Districts.pdf Data updated: monthlyUse Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this data set, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Boundaries,open data|boundaries|commissioner,Shapefile,Dataset,Vector,2015-09-14,2015,2015,"Hennepin County, Minnesota|Minnesota","-93.7728,44.783,-93.1766,45.2471",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/173069c1f85943bea833c90710c87d85_0,https://gis-hennepin.opendata.arcgis.com/datasets/173069c1f85943bea833c90710c87d85_0.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/0,
d47c495bda3f4458bdbfff0e6a842d70_1,05b-27053,County Boundary,"County Boundary: Hennepin County, Minnesota","This dataset contains the boundary area of Hennepin County. A large part of Hennepin County is bounded by rivers. The boundary in some cases is determined by the Township and Range Lines of the Public Land Survey System. The NAME_TXT attribute field contains the county text label. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/County%20Boundary.pdf Data updated: monthlyUse Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",Boundaries,open data|boundaries|hennepin,Shapefile,Dataset,Vector,2015-09-14,2015,2015,"Hennepin County, Minnesota|Minnesota","-93.7728,44.783,-93.1766,45.2471",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/d47c495bda3f4458bdbfff0e6a842d70_1,https://gis-hennepin.opendata.arcgis.com/datasets/d47c495bda3f4458bdbfff0e6a842d70_1.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/1,
daa179d9af5442ed882c6a2b985e2c71_2,05b-27053,Facilities,"Facilities: Hennepin County, Minnesota","This dataset contains Hennepin County owned and leased facility information and locations, including county libraries, service centers, office, medical, and correctional facilities. It contains structures only and does not include any parking lot, ramps, or related properties currently leased or owned by Hennepin County. Additional modification was conducted by the Hennepin County GIS Office. Facility Data Supplied by: Planning and Project Development Division Hennepin County Facilities Management Department Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/County%20Facilities.pdf Data updated: September 2015Use Limitations: This data (i) is furnished AS IS with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data.",Location,open data|places,Shapefile,Dataset,Vector,2015-09-14,2015,2015,"Hennepin County, Minnesota|Minnesota","-93.7472,44.8084,-93.2181,45.1928",Minnesota,"Hennepin County, Minnesota",Hennepin County,https://gis-hennepin.opendata.arcgis.com/datasets/daa179d9af5442ed882c6a2b985e2c71_2,https://gis-hennepin.opendata.arcgis.com/datasets/daa179d9af5442ed882c6a2b985e2c71_2.zip,,https://gis.hennepin.us/arcgis/rest/services/HennepinData/PLACES/MapServer/2,
